Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
371800.0,,Tielt (8700),HOUSE,HOUSE,3.0,145.0,False,,,1.0,,,,,143.0,,,GOOD
185000.0,,OUGRÉE,HOUSE,HOUSE,2.0,112.0,False,,,1.0,13.0,,,,1050.0,2.0,,TO_BE_DONE_UP
,,Ixelles,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
154000.0,,GRIVEGNEE,APARTMENT,APARTMENT,2.0,85.0,False,,,1.0,,,,,,2.0,,
,,Gent,HOUSE_GROUP,HOUSE_GROUP,,,False,,,,,,,,,,,
353971.0,,Maasmechelen,APARTMENT,APARTMENT,3.0,108.0,False,,,1.0,10.0,,,,,,,GOOD
214000.0,,Oupeye Heurele-Romain,HOUSE,HOUSE,2.0,124.0,False,0.0,,1.0,20.0,1.0,150.0,150.0,330.0,2.0,0.0,GOOD
599000.0,,Brugge,HOUSE,VILLA,4.0,288.0,False,0.0,,1.0,50.0,1.0,550.0,550.0,953.0,4.0,1.0,TO_BE_DONE_UP
649000.0,,Gentbrugge,APARTMENT,APARTMENT,3.0,129.0,True,,,1.0,,1.0,280.0,280.0,,,,AS_NEW
3700000.0,,Knokke-Heist,HOUSE,HOUSE,3.0,127.0,False,0.0,,1.0,,,,,924.0,4.0,,TO_RENOVATE
1125000.0,,Duinbergen,APARTMENT,APARTMENT,2.0,75.0,False,,,,,,,,,,,AS_NEW
,,AALST,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
229000.0,,BOOM,HOUSE,HOUSE,3.0,128.0,False,,,,,1.0,119.0,119.0,280.0,2.0,,TO_RENOVATE
580000.0,,Oudenaarde,HOUSE,VILLA,4.0,200.0,False,0.0,,1.0,,,,,1077.0,4.0,,
159000.0,,Seraing,HOUSE,MIXED_USE_BUILDING,3.0,185.0,False,0.0,,1.0,28.0,,,,115.0,2.0,0.0,GOOD
319500.0,,Saint-Gilles,APARTMENT,GROUND_FLOOR,2.0,77.0,False,,,1.0,,,,,,2.0,,
199000.0,,Antwerpen Hoboken,APARTMENT,GROUND_FLOOR,1.0,62.0,True,0.0,,1.0,,1.0,102.0,102.0,,2.0,0.0,AS_NEW
465000.0,,Brakel,HOUSE,HOUSE,3.0,194.0,True,0.0,,1.0,,,,,579.0,3.0,0.0,AS_NEW
,,Oostduinkerke,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
625000.0,,Ronse,APARTMENT,APARTMENT,3.0,161.0,False,0.0,,1.0,49.0,,,,,2.0,,
465000.0,,BOCHOLT,HOUSE,HOUSE,5.0,225.0,False,,1.0,,,,,,1096.0,4.0,1.0,GOOD
449000.0,,Bruxelles,HOUSE,HOUSE,2.0,107.0,False,0.0,,1.0,,,,,37.0,2.0,0.0,GOOD
369000.0,,BERCHEM,APARTMENT,APARTMENT,2.0,125.0,False,,,1.0,20.0,,,,,,,JUST_RENOVATED
258150.0,,Genk,APARTMENT,APARTMENT,2.0,80.0,False,0.0,,1.0,12.0,,,,,,,GOOD
950000.0,,Sint-Idesbald,HOUSE,HOUSE,4.0,240.0,False,0.0,,,,,,,782.0,,,JUST_RENOVATED
495000.0,,HOEILAART,HOUSE,HOUSE,3.0,173.0,False,,,1.0,40.0,1.0,500.0,500.0,850.0,4.0,,TO_RENOVATE
435000.0,,Brussel,APARTMENT,APARTMENT,2.0,100.0,True,0.0,,1.0,18.0,,,,,,,AS_NEW
198000.0,,Zwevezele,HOUSE,HOUSE,3.0,119.0,False,,,1.0,50.0,1.0,450.0,450.0,696.0,3.0,,TO_RENOVATE
585000.0,,Knokke-Heist,HOUSE,HOUSE,3.0,204.0,False,0.0,,1.0,,,,,190.0,,,TO_BE_DONE_UP
260000.0,,Vilvoorde Koningslo,APARTMENT,APARTMENT,2.0,78.0,False,0.0,,1.0,2.0,,,,,3.0,0.0,GOOD
