Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
371800.0,0,Tielt (8700),HOUSE,HOUSE,3.0,145.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(143,)","(None,)",,GOOD
185000.0,0,OUGRÉE,HOUSE,HOUSE,2.0,112.0,False,,"(None,)",1.0,"(13,)","(None,)","(None,)","(None,)","(1050,)","(2,)",,TO_BE_DONE_UP
,0,Ixelles,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
154000.0,0,GRIVEGNEE,APARTMENT,APARTMENT,2.0,85.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
,0,Gent,HOUSE_GROUP,HOUSE_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
353971.0,0,Maasmechelen,APARTMENT,APARTMENT,3.0,108.0,False,,"(None,)",1.0,"(10,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
214000.0,0,Oupeye Heurele-Romain,HOUSE,HOUSE,2.0,124.0,False,0.0,"(None,)",1.0,"(20,)","(1,)","(150,)","(150,)","(330,)","(2,)",0.0,GOOD
599000.0,0,Brugge,HOUSE,VILLA,4.0,288.0,False,0.0,"(None,)",1.0,"(50,)","(1,)","(550,)","(550,)","(953,)","(4,)",1.0,TO_BE_DONE_UP
649000.0,0,Gentbrugge,APARTMENT,APARTMENT,3.0,129.0,True,,"(None,)",1.0,"(None,)","(1,)","(280,)","(280,)","(None,)","(None,)",,AS_NEW
3700000.0,0,Knokke-Heist,HOUSE,HOUSE,3.0,127.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(924,)","(4,)",,TO_RENOVATE
1125000.0,0,Duinbergen,APARTMENT,APARTMENT,2.0,75.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,AS_NEW
,0,AALST,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
229000.0,0,BOOM,HOUSE,HOUSE,3.0,128.0,False,,"(None,)",,"(None,)","(1,)","(119,)","(119,)","(280,)","(2,)",,TO_RENOVATE
580000.0,0,Oudenaarde,HOUSE,VILLA,4.0,200.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(1077,)","(4,)",,
159000.0,0,Seraing,HOUSE,MIXED_USE_BUILDING,3.0,185.0,False,0.0,"(None,)",1.0,"(28,)","(None,)","(None,)","(None,)","(115,)","(2,)",0.0,GOOD
319500.0,0,Saint-Gilles,APARTMENT,GROUND_FLOOR,2.0,77.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
199000.0,0,Antwerpen Hoboken,APARTMENT,GROUND_FLOOR,1.0,62.0,True,0.0,"(None,)",1.0,"(None,)","(1,)","(102,)","(102,)","(None,)","(2,)",0.0,AS_NEW
465000.0,0,Brakel,HOUSE,HOUSE,3.0,194.0,True,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(579,)","(3,)",0.0,AS_NEW
,0,Oostduinkerke,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
625000.0,0,Ronse,APARTMENT,APARTMENT,3.0,161.0,False,0.0,"(None,)",1.0,"(49,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
465000.0,0,BOCHOLT,HOUSE,HOUSE,5.0,225.0,False,,"(1,)",,"(None,)","(None,)","(None,)","(None,)","(1096,)","(4,)",1.0,GOOD
449000.0,0,Bruxelles,HOUSE,HOUSE,2.0,107.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(37,)","(2,)",0.0,GOOD
369000.0,0,BERCHEM,APARTMENT,APARTMENT,2.0,125.0,False,,"(None,)",1.0,"(20,)","(None,)","(None,)","(None,)","(None,)","(None,)",,JUST_RENOVATED
258150.0,0,Genk,APARTMENT,APARTMENT,2.0,80.0,False,0.0,"(None,)",1.0,"(12,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
950000.0,0,Sint-Idesbald,HOUSE,HOUSE,4.0,240.0,False,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(782,)","(None,)",,JUST_RENOVATED
495000.0,0,HOEILAART,HOUSE,HOUSE,3.0,173.0,False,,"(None,)",1.0,"(40,)","(1,)","(500,)","(500,)","(850,)","(4,)",,TO_RENOVATE
