Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Number_of_Facades,Swimming_Pool,State_of_the_Building
185000.0,2,BORGERHOUT,APARTMENT,APARTMENT,3.0,98.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)",,"(3,)",,GOOD
185000.0,2,HOBOKEN,APARTMENT,APARTMENT,3.0,90.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)",,"(3,)",,GOOD
299000.0,2,NINOVE,APARTMENT,APARTMENT,3.0,153.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)",,"(2,)",,GOOD
395000.0,2,Ixelles,APARTMENT,APARTMENT,2.0,86.0,False,2.0,"(None,)",1.0,"(None,)","(None,)","(None,)",,"(3,)",2.0,GOOD
,2,Deinze,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)",,"(None,)",,
,2,Gent,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)",,"(None,)",,
,2,Gent,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)",,"(None,)",,
,2,Gent,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)",,"(None,)",,
,2,Gent Sint-Denijs-Westrem,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)",,"(None,)",,
,2,Sint-Denijs-Westrem,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)",,"(None,)",,
